"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4Y9QwoUwo9blH9R9C5DCnk","Bye for now,","spotify:artist:6bDWAcdtVR3WHz2xtiIPUi","Fujii Kaze","spotify:album:7Ip9X7pnkhJ4cwDoBnvneD","LOVE ALL SERVE ALL","spotify:artist:6bDWAcdtVR3WHz2xtiIPUi","Fujii Kaze","2022-03-23","https://i.scdn.co/image/ab67616d0000b2739e16930796a07f1195002389","1","9","230720","https://p.scdn.co/mp3-preview/f9fc4d428817a45deeb062389d45e51e59366522?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","JPPO02200426","","2024-05-18T01:54:33Z"
"spotify:track:59z6KzkGfy3XCBOQX45CU5","Counting Stars","spotify:artist:66Fb5gJ9SX2WGlqDLUpjux, spotify:artist:74ZHOTPP0eWWe9kLt8jHbP, spotify:artist:2BHswvFd8tMBizVWGcAMLm","Alex Goot, ATC, Kurt Hugo Schneider","spotify:album:0GhppB5IFroTmdP5HxQKE0","Alex Goot & Friends, Vol. 3","spotify:artist:66Fb5gJ9SX2WGlqDLUpjux","Alex Goot","2014-01-25","https://i.scdn.co/image/ab67616d0000b27374976cfb28f1e7fa82627d4e","1","4","203000","","false","7","GBDMT1400035","","2024-05-18T01:54:32Z"
"spotify:track:497OWZnKU1Cgw1lVvNFFsB","Señorita","spotify:artist:2BHswvFd8tMBizVWGcAMLm, spotify:artist:0NxhAEPOSeCg6vypFr7yjU","Kurt Hugo Schneider, Madilyn Bailey","spotify:album:0OO21s7tdfR38uSPh0w2Ha","Kurt & Company Vol 8","spotify:artist:2BHswvFd8tMBizVWGcAMLm","Kurt Hugo Schneider","2020-04-22","https://i.scdn.co/image/ab67616d0000b273355c33210b51016dd97a62d9","1","1","163584","","false","5","GBDMT1900178","","2024-05-18T01:54:32Z"
"spotify:track:57u1FaZlztApkcT5x5XNuD","YASASHISA","spotify:artist:6bDWAcdtVR3WHz2xtiIPUi","Fujii Kaze","spotify:album:1OojCidx0eoPKch2M0Kz31","HELP EVER HURT NEVER","spotify:artist:6bDWAcdtVR3WHz2xtiIPUi","Fujii Kaze","2020-05-20","https://i.scdn.co/image/ab67616d0000b27322805a1b17e41ae357bd98bc","1","3","240080","https://p.scdn.co/mp3-preview/1894fa334890ab9d28574755b53c6048eff81a40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","JPPO02000605","","2024-05-18T01:54:32Z"
"spotify:track:5JPqrylF23njJA7syZsge4","打得火熱 (紅館現場錄音版) [Live]","spotify:artist:6t1LRAgmnIc4a1hnjhSDHU","陳輝陽 x 女聲合唱","spotify:album:1itRyHbQsN8VUMdMTBK06l","打得火熱 (紅館現場錄音版) [Live]","spotify:artist:6t1LRAgmnIc4a1hnjhSDHU","陳輝陽 x 女聲合唱","2022-06-30","https://i.scdn.co/image/ab67616d0000b2738e9c273936cd5d5aab8d1865","1","1","178399","https://p.scdn.co/mp3-preview/9c005192788144fbe87df82077baa36fbe1c4b12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","HKG882200008","","2024-05-18T01:54:32Z"
"spotify:track:7dLIhgjhl4vbuhtasWr3fd","Closer","spotify:artist:2BHswvFd8tMBizVWGcAMLm, spotify:artist:7lPWuLostTtlIShgm4wpf0, spotify:artist:5wZea2jH6qM1cRkKLPZ3S1","Kurt Hugo Schneider, Sam Tsui, Kirsten Collins","spotify:album:4hKf233rsxpH4TTJTbPy4M","Kurt & Company Vol 1","spotify:artist:2BHswvFd8tMBizVWGcAMLm","Kurt Hugo Schneider","2017-06-12","https://i.scdn.co/image/ab67616d0000b273fb615226789f4f10dba6fe2c","1","7","197368","","false","1","GBDMT1600215","","2024-05-18T01:54:32Z"
"spotify:track:5ZkAx8zjLiSs1nMmBwJoZS","When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","spotify:album:0aqJGQ73RTLu3yLgcdU9JC","Wreck-It Ralph","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","群星","2012-01-01","https://i.scdn.co/image/ab67616d0000b2736fba239d8fdb3f7125e19091","1","1","218093","https://p.scdn.co/mp3-preview/de32e8f58f055ed972826b9b7eed5f9f76235612?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USWD11263937","","2024-05-18T01:54:31Z"
"spotify:track:5P40YyCrdZRsoj2vTbSyVI","Attention","spotify:artist:26AHtbjWKiwYzsoGoUZq53","Pentatonix","spotify:album:2viOlnLfhPLDgx7hvBqLwW","PTX Presents: Top Pop, Vol. I","spotify:artist:26AHtbjWKiwYzsoGoUZq53","Pentatonix","2018-04-13","https://i.scdn.co/image/ab67616d0000b273a064dc21b8c8ebedfe4ea833","1","1","171520","https://p.scdn.co/mp3-preview/a3482f102bd4ce155c92a2a8548a2ca4985bb3f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USRC11800649","","2024-05-18T01:54:31Z"
"spotify:track:5O7sfLbjLavxzCphESiBFt","嘭門 (紅館現場錄音版) [Live]","spotify:artist:6t1LRAgmnIc4a1hnjhSDHU","陳輝陽 x 女聲合唱","spotify:album:34E9jqel8jc2qNaI0CLJZ0","嘭門 (紅館現場錄音版) [Live]","spotify:artist:6t1LRAgmnIc4a1hnjhSDHU","陳輝陽 x 女聲合唱","2022-08-01","https://i.scdn.co/image/ab67616d0000b273676823d949d70d6847c47035","1","1","222253","https://p.scdn.co/mp3-preview/bfb985f054d18fb981452a23516a354ad2f83f7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","HKG882200010","","2024-05-18T01:54:31Z"
"spotify:track:5E8yddtSG3sH4hw2SfwcgW","Can You Feel the Love Tonight","spotify:artist:5xk0kRuXn1zToTHpHAqpui, spotify:artist:7vK6xoR5zT4DypEu0blUku, spotify:artist:0P0do9GwiSgweSF6Ui3mrv, spotify:artist:0RH6EMxqfzCEB7QCSKQ4xr, spotify:artist:4y5d67UxD0QON2vRZOjXZ6","Joseph Williams, Sally Dworsky, Nathan Lane, Ernie Sabella, Kristle Edwards","spotify:album:3YA5DdB3wSz4pdfEXoMyRd","The Lion King","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","群星","1994-01-01","https://i.scdn.co/image/ab67616d0000b273660aadbda2da6b1c2dd3d1a5","1","5","177786","https://p.scdn.co/mp3-preview/9ce2bc4a3802a7ef9dec4ea10348fd03cbe0d173?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USWD10210160","","2024-05-18T01:54:31Z"
"spotify:track:7vKA5nkTkdPurbLDcUE4rk","Treat You Better","spotify:artist:2BHswvFd8tMBizVWGcAMLm, spotify:artist:7lPWuLostTtlIShgm4wpf0, spotify:artist:5Mbw0q0VWmUbNrqqmQrSN0","Kurt Hugo Schneider, Sam Tsui, Casey Breves","spotify:album:4hKf233rsxpH4TTJTbPy4M","Kurt & Company Vol 1","spotify:artist:2BHswvFd8tMBizVWGcAMLm","Kurt Hugo Schneider","2017-06-12","https://i.scdn.co/image/ab67616d0000b273fb615226789f4f10dba6fe2c","1","11","190843","","false","3","GBDMT1600223","","2024-05-18T01:54:31Z"
